Removed Pin From Net: NetName=GHB Pin=Q2-1
Removed Pin From Net: NetName=V_BATT Pin=Q2-2
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=GHC Pin=Q3-1
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=GLA Pin=Q4-1
Removed Pin From Net: NetName=SHA Pin=Q4-2
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=GLB Pin=Q5-1
Removed Pin From Net: NetName=SHB Pin=Q5-2
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SNA Pin=TP3-1
Removed Member From Class: ClassName=Connectors & LEDs Member=TP3
Change Component Footprint: Designator=TP3 Old Footprint=Test Point New Footprint=TE_RCU-0C
Change Component Footprint: Designator=Q2 Old Footprint=TO263-7-3 New Footprint=DPAK254P1510X470-3M
Change Component Footprint: Designator=Q3 Old Footprint=TO263-7-3 New Footprint=DPAK254P1510X470-3M
Change Component Footprint: Designator=Q4 Old Footprint=TO263-7-3 New Footprint=DPAK254P1510X470-3M
Change Component Footprint: Designator=Q5 Old Footprint=TO263-7-3 New Footprint=DPAK254P1510X470-3M
Change Component Comment : Designator=Q1 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q2 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q3 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q4 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q5 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q6 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=TP3 Old Comment=TP New Comment=1625854-3
Change component parameters: Designator = "TP3"; Footprint = "TE_RCU-0C"; UniqueID = "\WLTMPPIA"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1 = 5.25000, 10 = 4.69200 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "1.6mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "306"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2"; Footprint = "DPAK254P1510X470-3M"; UniqueID = "\UUONQCNL"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "D2PAK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "349A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "11.43nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CSD18536KTTT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "375W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1 = 5.25000, 10 = 4.69200 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "1.6mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "306"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q3"; Footprint = "DPAK254P1510X470-3M"; UniqueID = "\KYIGTCZC"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "D2PAK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "349A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "11.43nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CSD18536KTTT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "375W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1 = 5.25000, 10 = 4.69200 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "1.6mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "306"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q4"; Footprint = "DPAK254P1510X470-3M"; UniqueID = "\ENWOVHCM"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "D2PAK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "349A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "11.43nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CSD18536KTTT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "375W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1 = 5.25000, 10 = 4.69200 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "1.6mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "306"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q5"; Footprint = "DPAK254P1510X470-3M"; UniqueID = "\JPKYBRWK"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "D2PAK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "349A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "11.43nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CSD18536KTTT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "375W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1 = 5.25000, 10 = 4.69200 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "1.6mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "306"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q6"; Footprint = "DPAK254P1510X470-3M"; UniqueID = "\RFQBXTZY"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "D2PAK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "349A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "60V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "11.43nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CSD18536KTTT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "375W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1 = 5.25000, 10 = 4.69200 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "1.6mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "306"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Added Component: Designator=TP1(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP2(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP4(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP5(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP6(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
